batter,pitch_type,pitch_name,family,pitches,whiff,contact,slg,xwoba,exit_velo,zone_pct,pa,ba,obp,iso,bb_pct,k_pct,swstr_pct,hr
457705,FF,4-Seam FB,Fastball,144,0.2535211267605634,0.7464788732394366,0.34210526315789475,0.24656894736842108,84.50392156862745,0.5555555555555556,45,0.18421052631578946,0.28888888888888886,0.15789473684210528,0.13333333333333333,0.26666666666666666,0.125,2
457705,SI,Sinker,Fastball,64,0.17857142857142858,0.8214285714285714,0.42857142857142855,0.3646703846153846,89.45238095238095,0.53125,17,0.35714285714285715,0.47058823529411764,0.0714285714285714,0.17647058823529413,0.11764705882352941,0.078125,0
457705,ST,Sweeper,Breaking,50,0.4,0.6,0.125,0.236125,80.38181818181819,0.46,8,0.125,0.125,0.0,0.0,0.25,0.16,0
457705,SL,Slider,Breaking,48,0.55,0.44999999999999996,0.2857142857142857,0.2702,85.34999999999998,0.4166666666666667,7,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.22916666666666666,0
457705,CH,Changeup,Offspeed,35,0.35714285714285715,0.6428571428571428,0.42857142857142855,0.11116666666666668,76.85555555555555,0.4,7,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0
457705,FC,Cutter,Fastball,33,0.2727272727272727,0.7272727272727273,0.0,0.37945249999999997,77.38571428571429,0.5454545454545454,4,0.0,0.5,0.0,0.5,0.0,0.09090909090909091,0
467793,FF,4-Seam FB,Fastball,69,0.1891891891891892,0.8108108108108107,0.06666666666666667,0.1401111111111111,85.90740740740739,0.43478260869565216,16,0.06666666666666667,0.125,0.0,0.0625,0.0,0.10144927536231885,0
467793,CH,Changeup,Offspeed,37,0.2,0.8,0.5,0.3796508333333333,81.64166666666667,0.4864864864864865,9,0.375,0.4444444444444444,0.125,0.1111111111111111,0.1111111111111111,0.08108108108108109,0
500743,FF,4-Seam FB,Fastball,190,0.10416666666666667,0.8958333333333334,0.4423076923076923,0.32365392857142855,87.23902439024391,0.4789473684210526,59,0.28846153846153844,0.3220338983050847,0.15384615384615385,0.06779661016949153,0.13559322033898305,0.05263157894736842,1
500743,SI,Sinker,Fastball,142,0.06666666666666667,0.9333333333333333,0.32558139534883723,0.33114299999999997,82.96093749999999,0.5211267605633803,48,0.23255813953488372,0.2916666666666667,0.09302325581395351,0.0625,0.020833333333333332,0.035211267605633804,1
500743,CH,Changeup,Offspeed,85,0.3,0.7,0.26666666666666666,0.21366666666666667,76.552,0.29411764705882354,17,0.2,0.1875,0.06666666666666665,0.0,0.0,0.1411764705882353,0
500743,SL,Slider,Breaking,85,0.19047619047619047,0.8095238095238095,0.55,0.41461452380952374,84.76774193548388,0.4588235294117647,22,0.35,0.36363636363636365,0.20000000000000007,0.045454545454545456,0.09090909090909091,0.09411764705882353,1
500743,FC,Cutter,Fastball,63,0.19444444444444445,0.8055555555555556,0.9411764705882353,0.373738125,81.12592592592591,0.5238095238095238,20,0.6470588235294118,0.6842105263157895,0.2941176470588235,0.1,0.1,0.1111111111111111,1
500743,ST,Sweeper,Breaking,62,0.13636363636363635,0.8636363636363636,0.2,0.2243690625,75.69444444444444,0.4032258064516129,16,0.2,0.25,0.0,0.0625,0.0625,0.04838709677419355,0
500743,CU,Curveball,Breaking,36,0.3,0.7,0.6,0.3967945,81.22857142857141,0.3333333333333333,6,0.4,0.5,0.19999999999999996,0.0,0.3333333333333333,0.08333333333333333,0
502054,FF,4-Seam FB,Fastball,28,0.4166666666666667,0.5833333333333333,0.0,0.143781,81.54285714285713,0.5714285714285714,5,0.0,0.2,0.0,0.2,0.6,0.17857142857142858,0
502671,FF,4-Seam FB,Fastball,310,0.21875,0.78125,0.7176470588235294,0.3726320108695652,85.36583333333333,0.5451612903225806,97,0.29411764705882354,0.3711340206185567,0.4235294117647059,0.10309278350515463,0.21649484536082475,0.11290322580645161,9
502671,SI,Sinker,Fastball,247,0.22388059701492538,0.7761194029850746,0.26666666666666666,0.2381696842105263,82.31456310679613,0.5222672064777328,62,0.16666666666666666,0.1935483870967742,0.1,0.016129032258064516,0.20967741935483872,0.1214574898785425,2
502671,SL,Slider,Breaking,219,0.32407407407407407,0.6759259259259259,0.30612244897959184,0.26631696153846157,79.23521126760564,0.5205479452054794,53,0.2857142857142857,0.33962264150943394,0.020408163265306145,0.05660377358490566,0.32075471698113206,0.1598173515981735,0
502671,CH,Changeup,Offspeed,160,0.27941176470588236,0.7205882352941176,0.40540540540540543,0.32739287499999997,82.00227272727273,0.3375,40,0.2702702702702703,0.325,0.13513513513513514,0.075,0.225,0.11875,1
502671,FC,Cutter,Fastball,127,0.5,0.5,0.3076923076923077,0.27616839285714284,82.1103448275862,0.4881889763779528,29,0.19230769230769232,0.27586206896551724,0.11538461538461539,0.10344827586206896,0.3448275862068966,0.2440944881889764,1
502671,ST,Sweeper,Breaking,123,0.22727272727272727,0.7727272727272727,0.4375,0.2202935263157895,80.25757575757575,0.4065040650406504,19,0.1875,0.3157894736842105,0.25,0.10526315789473684,0.2631578947368421,0.08130081300813008,1
502671,CU,Curveball,Breaking,91,0.1875,0.8125,0.47619047619047616,0.32859524999999995,82.37200000000001,0.4175824175824176,22,0.2857142857142857,0.3181818181818182,0.19047619047619047,0.045454545454545456,0.18181818181818182,0.06593406593406594,1
502671,FS,Splitter,Offspeed,29,0.25,0.75,0.16666666666666666,0.2806666666666667,80.59166666666665,0.41379310344827586,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.13793103448275862,0
506702,FF,4-Seam FB,Fastball,72,0.3333333333333333,0.6666666666666667,0.18181818181818182,0.0986,80.6,0.5972222222222222,23,0.18181818181818182,0.21739130434782608,0.0,0.043478260869565216,0.391304347826087,0.2222222222222222,0
506702,SI,Sinker,Fastball,30,0.21428571428571427,0.7857142857142857,0.14285714285714285,0.22442857142857142,74.59,0.6,7,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.1,0
514888,SI,Sinker,Fastball,323,0.16339869281045752,0.8366013071895425,0.2777777777777778,0.31380672619047617,82.67457627118644,0.5232198142414861,86,0.2222222222222222,0.3372093023255814,0.05555555555555558,0.1511627906976744,0.13953488372093023,0.07739938080495357,0
514888,FF,4-Seam FB,Fastball,303,0.19333333333333333,0.8066666666666666,0.49,0.30697228155339806,85.45963302752294,0.5115511551155115,110,0.28,0.3394495412844037,0.20999999999999996,0.08181818181818182,0.24545454545454545,0.09570957095709572,5
514888,SL,Slider,Breaking,247,0.25,0.75,0.4153846153846154,0.2341047692307692,76.65,0.41700404858299595,68,0.2,0.22388059701492538,0.2153846153846154,0.029411764705882353,0.17647058823529413,0.12550607287449392,4
